Year,Production (in 000' Tonnes),Per Capita Income (in Rs),Substitute (in 000' Tonnes),Population
1948,6400,1299,28311,376325200
1949,6462,1303,29490,382376948
1950,6183,1309,31210,388799073
1951,7501,1313,35010,395544369
1952,8017,1321,43169,402578596
1953,9043,1325,38999,409880595
1954,8760,1328,38285,417442811
1955,9403,1347,39498,425270695
1956,7998,1350,38753,433380978
1957,9958,1355,44076,441798578
1958,10324,1347,44225,450547679
1959,10997,1384,47320,459642165
1960,12072,1454,46807,469077190
1961,10776,1355,47071,478825608
1962,9853,1335,50863,488848135
1963,12257,1413,52425,499123324
1964,10394,1415,41615,509631500
1965,11393,1478,43098,520400576
1966,16540,1520,49870,531513824
1967,18651,1492,46293,543084336
1968,20093,1446,47624,555189792
1969,23832,1483,48939,567868018
1970,26410,1469,41254,581087256
1971,24735,1572,37649,594770134
1972,21778,1552,51101,608802600
1973,24104,1635,41604,623102897
1974,28846,1689,50303,637630087
1975,29010,1550,41786,652408776
1976,31749,1630,50936,667499806
1977,35508,1693,48703,682995354
1978,31830,1691,37469,698952844
1979,36313,1790,46336,715384993
1980,37452,1811,46884,732239504
1981,42794,1841,32074,749428958
1982,45476,1871,48529,766833410
1983,38257,1901,57063,784360008
1984,39330,2059,58419,801975244
1985,40403,2157,50905,819682102
1986,41476,2222,44422,837468930
1987,42549,2175,70975,855334678
1988,43622,2239,70934,873277798
1989,44695,7690,72734,891273209
1990,45769,8070,64822,909307016
1991,46842,8489,72985,927403860
1992,47915,9007,75126,945601831
1993,48988,9244,79482,963922588
1994,50061,9650,67983,982365243
1995,51134,10071,82923,1000900030
1996,52207,15881,74864,1019483581
1997,53281,16172,82139,1038058156
1998,54354,16764,87676,1056575549
1999,55427,17101,77606,1075000085
2000,56500,18301,86483,1093317189
2001,57573,19331,48500,1111523144
2002,58646,24143,80992,1129623456
2003,59719,26015,65794,1147609927
2004,60792,28067,73632,1165486291
2005,61866,30332,79354,1183209472
2006,62939,31754,90137,1200669765
2007,64012,33901,91876,1217726215
2008,65085,36202,73276,1234281170
2009,66158,38048,93925,1250287943
2010,67231,38856,107734,1265780247
2011,68304,39904,102183,1280842125
2012,69378,63462,107035,1295600772
2013,70451,65538,93970,1310152403
2014,71524,68572,92170,1324517249
2015,72597,72805,106787,1338676785
2016,73670,77659,112257,1352642280
2017,74743,83003,113647,1366417754
2018,75816,87586,122846,1380004385
2019,76889,92241,131501,1393409038
2020,77963,94566,126385,1406631776
2021,79036,86659,131039,1419994777
